clean_line1,clean_line2,line3,city,zip_code,label,phone,year,major_city,state,chain,Address_Type,Exit_Number,Exit_From_Address,Exit_From_Label,Main_Road,Secondary_Road,Exit_Number_2,Exit_Number_3,Tertiary_Road,Scraped_phone_match_rate,Yelp_phone_match_rate,place_identifier(year),Yellowbook_phone_match_rate,Webscraped_Phone_full_url,Webscraped_PlacedMatched_full_url,Yelp_URL,YellowPages_SEARCH_URL,Match_Comments,Final_Lat,Final_Long
"Fernley , 89408 Pilot Travel Center Rd # 340 ( 5 mi E of town )",775-575-5115 I-80 Exit 46 (,HOSS 24 <U+2610><U+2610><U+2610>,Fernley,89408,Pilot Travel Center Rd # 340 ( 5 mi E of town ),775-575-5115,2008,Fernley,NV,Pilot,Exit,46,46,,I-80,,,,,True,True,113,True,http://www.rvandtravelers.com/location_details.php?id=17707; https://www.truckstopsandservices.com/location_details.php?id=17707,https://www.truckstopsandservices.com/location_details.php?id=17707; http://www.rvandtravelers.com/location_details.php?id=17707,https://www.yelp.com/biz/pilot-travel-center-fernley?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+575+5115; https://www.yellowpages.com/search?search_terms=775+575+5115; https://www.yellowpages.com/search?search_terms=775+575+5115,,39.613387,-119.266784
Fernley ( 89408 ) Pilot Travel Center # 340,775-575-5115 I-80 Exit 46 ( US 95 A ),plat 24,Fernley,89408,Pilot Travel Center # 340,775-575-5115,2014,Fernley,NV,Pilot,Exit,46,46,,I-80,,,,,True,True,113,True,http://www.rvandtravelers.com/location_details.php?id=17707; https://www.truckstopsandservices.com/location_details.php?id=17707,https://www.truckstopsandservices.com/location_details.php?id=17707; http://www.rvandtravelers.com/location_details.php?id=17707,https://www.yelp.com/biz/pilot-travel-center-fernley?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+575+5115; https://www.yellowpages.com/search?search_terms=775+575+5115; https://www.yellowpages.com/search?search_terms=775+575+5115,,39.613387,-119.266784
Fernley ( 89408 ) Pilot Travel Center # 340 ),775-575-5115 I-80 Exit 46 ( US 95 A ) Pilot,24 <U+2610>,Fernley,89408,Pilot Travel Center # 340 ),775-575-5115,2015,Fernley,NV,Pilot,Exit,46,46,,I-80,,,,,True,True,113,True,http://www.rvandtravelers.com/location_details.php?id=17707; https://www.truckstopsandservices.com/location_details.php?id=17707,https://www.truckstopsandservices.com/location_details.php?id=17707; http://www.rvandtravelers.com/location_details.php?id=17707,https://www.yelp.com/biz/pilot-travel-center-fernley?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+575+5115; https://www.yellowpages.com/search?search_terms=775+575+5115; https://www.yellowpages.com/search?search_terms=775+575+5115,,39.613387,-119.266784
D Fernley ( 89408 ) Pilot Travel Center # 340 of town ),775-575-5115 I-80 Exit 46 ( US 95 A ),pilot 24 024,Fernley,89408,Pilot Travel Center # 340 of town ),775-575-5115,2016,Fernley,NV,Pilot,Exit,46,46,,I-80,,,,,True,True,113,True,http://www.rvandtravelers.com/location_details.php?id=17707; https://www.truckstopsandservices.com/location_details.php?id=17707,https://www.truckstopsandservices.com/location_details.php?id=17707; http://www.rvandtravelers.com/location_details.php?id=17707,https://www.yelp.com/biz/pilot-travel-center-fernley?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+575+5115; https://www.yellowpages.com/search?search_terms=775+575+5115; https://www.yellowpages.com/search?search_terms=775+575+5115,,39.613387,-119.266784
"F Hawthorne , 89415 Hawthorne Shell",775-945-4664 1075 US 95,M,Hawthorne,89415,Hawthorne Shell,775-945-4664,2006,Hawthorne,NV,Shell,Proper,,,,US 95,,,,,True,True,114,True,http://www.rvandtravelers.com/location_details.php?id=11838; https://www.truckstopsandservices.com/location_details.php?id=11838,http://www.rvandtravelers.com/location_details.php?id=11838; https://www.truckstopsandservices.com/location_details.php?id=11838,https://www.yelp.com/biz/hawthorne-texaco-hawthorne?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+945+4664; https://www.yellowpages.com/search?search_terms=775+945+4664; https://www.yellowpages.com/search?search_terms=775+945+4664,,38.535353,-118.629207
"F Hawthorne , 89415 Hawthorne Shell",775-945-4664 1075 US 95,24 HRS 485 M,Hawthorne,89415,Hawthorne Shell,775-945-4664,2007,Hawthorne,NV,Shell,Proper,,,,US 95,,,,,True,True,114,True,http://www.rvandtravelers.com/location_details.php?id=11838; https://www.truckstopsandservices.com/location_details.php?id=11838,http://www.rvandtravelers.com/location_details.php?id=11838; https://www.truckstopsandservices.com/location_details.php?id=11838,https://www.yelp.com/biz/hawthorne-texaco-hawthorne?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+945+4664; https://www.yellowpages.com/search?search_terms=775+945+4664; https://www.yellowpages.com/search?search_terms=775+945+4664,,38.535353,-118.629207
"F Hawthorne , 89415 Hawthorne Shell",775-945-4664 1075 US 95,HRS 24 M <U+2610> <U+2610>,Hawthorne,89415,Hawthorne Shell,775-945-4664,2008,Hawthorne,NV,Shell,Proper,,,,US 95,,,,,True,True,114,True,http://www.rvandtravelers.com/location_details.php?id=11838; https://www.truckstopsandservices.com/location_details.php?id=11838,http://www.rvandtravelers.com/location_details.php?id=11838; https://www.truckstopsandservices.com/location_details.php?id=11838,https://www.yelp.com/biz/hawthorne-texaco-hawthorne?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+945+4664; https://www.yellowpages.com/search?search_terms=775+945+4664; https://www.yellowpages.com/search?search_terms=775+945+4664,,38.535353,-118.629207
Hawthorne ( 89415 ) Hawthorne Shell,775-945-4664 1075 US 95,24 M <U+2610> <U+25A1>,Hawthorne,89415,Hawthorne Shell,775-945-4664,2014,Hawthorne,NV,Shell,Proper,,,,US 95,,,,,True,True,114,True,http://www.rvandtravelers.com/location_details.php?id=11838; https://www.truckstopsandservices.com/location_details.php?id=11838,http://www.rvandtravelers.com/location_details.php?id=11838; https://www.truckstopsandservices.com/location_details.php?id=11838,https://www.yelp.com/biz/hawthorne-texaco-hawthorne?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+945+4664; https://www.yellowpages.com/search?search_terms=775+945+4664; https://www.yellowpages.com/search?search_terms=775+945+4664,,38.535353,-118.629207
Hawthorne ( 89415 ) Hawthorne Shell,775-945-4664 1075 US 95,24 M,Hawthorne,89415,Hawthorne Shell,775-945-4664,2015,Hawthorne,NV,Shell,Proper,,,,US 95,,,,,True,True,114,True,http://www.rvandtravelers.com/location_details.php?id=11838; https://www.truckstopsandservices.com/location_details.php?id=11838,http://www.rvandtravelers.com/location_details.php?id=11838; https://www.truckstopsandservices.com/location_details.php?id=11838,https://www.yelp.com/biz/hawthorne-texaco-hawthorne?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+945+4664; https://www.yellowpages.com/search?search_terms=775+945+4664; https://www.yellowpages.com/search?search_terms=775+945+4664,,38.535353,-118.629207
Hawthorne ( 89415 ) Hawthorne 48 Shell,775-945-4664 1075 US 95,24 M D DO,Hawthorne,89415,Hawthorne 48 Shell,775-945-4664,2016,Hawthorne,NV,Shell,Proper,,,,US 95,,,,,True,True,114,True,http://www.rvandtravelers.com/location_details.php?id=11838; https://www.truckstopsandservices.com/location_details.php?id=11838,http://www.rvandtravelers.com/location_details.php?id=11838; https://www.truckstopsandservices.com/location_details.php?id=11838,https://www.yelp.com/biz/hawthorne-texaco-hawthorne?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+945+4664; https://www.yellowpages.com/search?search_terms=775+945+4664; https://www.yellowpages.com/search?search_terms=775+945+4664,,38.535353,-118.629207
"Rye Patch , 89419 Rye Patch Truck Stop ( Chevron )",775-538-7504 I-80 Exit 129 ( Rye Patch Dam ),HRS MU = D <U+2610>,Rye Patch,89419,Rye Patch Truck Stop ( Chevron ),775-538-7504,2006,Lovelock,NV,Chevron,Exit,129,129,,I-80,,,,,False,True,115,True,,,https://www.yelp.com/biz/travel-centers-of-america-imlay?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/rye-patch-chevron-lovelock-3?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/rye-patch-travel-center-lovelock?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+538+7504; https://www.yellowpages.com/search?search_terms=775+538+7504; https://www.yellowpages.com/search?search_terms=775+538+7504,,40.466952,-118.28368
", 89419 Rye Patch Truck Stop ( Chevron )",CRye 3775-538-7504 Patch I-80 Exit 129 ( Rye Patch Dam ),24 M S,,89419,Rye Patch Truck Stop ( Chevron ),775-538-7504,2007,Lovelock,NV,Chevron,Exit,129,129,,I-80,,,,,False,True,115,True,,,https://www.yelp.com/biz/travel-centers-of-america-imlay?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/rye-patch-chevron-lovelock-3?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/rye-patch-travel-center-lovelock?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+538+7504; https://www.yellowpages.com/search?search_terms=775+538+7504; https://www.yellowpages.com/search?search_terms=775+538+7504,,40.466952,-118.28368
"Rye Patch , 89419 Rye Patch Truck Stop",775-538-7504 I-80 Exit 129 ( Rye Patch Dam ),24 M <U+2610>,Rye Patch,89419,Rye Patch Truck Stop,775-538-7504,2008,Lovelock,NV,,Exit,129,129,,I-80,,,,,False,True,115,True,,,https://www.yelp.com/biz/travel-centers-of-america-imlay?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/rye-patch-chevron-lovelock-3?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/rye-patch-travel-center-lovelock?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+538+7504; https://www.yellowpages.com/search?search_terms=775+538+7504; https://www.yellowpages.com/search?search_terms=775+538+7504,,40.466952,-118.28368
Rye Patch ( 89419 ) Rye Patch Travel Center,3 775-538-7504 I-80 Exit 129 ( Rye Patch Dam ),24 M <U+25A1>,Rye Patch,89419,Rye Patch Travel Center,775-538-7504,2014,Lovelock,NV,,Exit,129,129,,I-80,,,,,False,True,115,True,,,https://www.yelp.com/biz/travel-centers-of-america-imlay?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/rye-patch-chevron-lovelock-3?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/rye-patch-travel-center-lovelock?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+538+7504; https://www.yellowpages.com/search?search_terms=775+538+7504; https://www.yellowpages.com/search?search_terms=775+538+7504,,40.466952,-118.28368
Rye Patch ( 89419 ) Rye Patch Travel Center,775-538-7504 I-80 Exit 129 ( Rye Patch Dam ),24 22 MO <U+2610> <U+2610>,Rye Patch,89419,Rye Patch Travel Center,775-538-7504,2015,Lovelock,NV,,Exit,129,129,,I-80,,,,,False,True,115,True,,,https://www.yelp.com/biz/travel-centers-of-america-imlay?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/rye-patch-chevron-lovelock-3?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/rye-patch-travel-center-lovelock?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+538+7504; https://www.yellowpages.com/search?search_terms=775+538+7504; https://www.yellowpages.com/search?search_terms=775+538+7504,,40.466952,-118.28368
Rye Patch ( 89419 ) Rye Patch Travel Center,775-538-7504 I-80 Exit 129 ( Rye Patch Dam ),MO,Rye Patch,89419,Rye Patch Travel Center,775-538-7504,2016,Lovelock,NV,,Exit,129,129,,I-80,,,,,False,True,115,True,,,https://www.yelp.com/biz/travel-centers-of-america-imlay?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/rye-patch-chevron-lovelock-3?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/rye-patch-travel-center-lovelock?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+538+7504; https://www.yellowpages.com/search?search_terms=775+538+7504; https://www.yellowpages.com/search?search_terms=775+538+7504,,40.466952,-118.28368
"E Minden , 89423 Silver City RV Resort",775-267-3359 3165 US 395 N,,Minden,89423,Silver City RV Resort,775-267-3359,2006,Minden,NV,,Proper,,,,US 395,,,,,False,True,116,True,,,https://www.yelp.com/biz/silver-city-rv-park-minden?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/silver-city-rv-resort-minden?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+267+3359; https://www.yellowpages.com/search?search_terms=775+267+3359,,39.069232386185774,-119.779217101659
"E Minden , 89423 Silver City RV Resort",775-267-3359 3165 US 395 N,<U+25A1> <U+25A1> <U+2610>,Minden,89423,Silver City RV Resort,775-267-3359,2007,Minden,NV,,Proper,,,,US 395,,,,,False,True,116,True,,,https://www.yelp.com/biz/silver-city-rv-park-minden?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/silver-city-rv-resort-minden?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+267+3359; https://www.yellowpages.com/search?search_terms=775+267+3359,,39.069232386185774,-119.779217101659
"E Minden , 89423 Silver City RV Resort reserved .",775-267-3359 3165 US 395 N,<U+2610> <U+2610> <U+2610>,Minden,89423,Silver City RV Resort reserved .,775-267-3359,2008,Minden,NV,,Proper,,,,US 395,,,,,False,True,116,True,,,https://www.yelp.com/biz/silver-city-rv-park-minden?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/silver-city-rv-resort-minden?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+267+3359; https://www.yellowpages.com/search?search_terms=775+267+3359,,39.069232386185774,-119.779217101659
E Minden ( 89423 ) Silver City RV Resort,775-267-3359 3165 US 395 N,<U+25A1> <U+2610> 0,Minden,89423,Silver City RV Resort,775-267-3359,2014,Minden,NV,,Proper,,,,US 395,,,,,False,True,116,True,,,https://www.yelp.com/biz/silver-city-rv-park-minden?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/silver-city-rv-resort-minden?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+267+3359; https://www.yellowpages.com/search?search_terms=775+267+3359,,39.069232386185774,-119.779217101659
E Minden ( 89423 ) Silver City RV Resort,775-267-3359 3165 US 395 N,<U+2610> <U+2610> D,Minden,89423,Silver City RV Resort,775-267-3359,2015,Minden,NV,,Proper,,,,US 395,,,,,False,True,116,True,,,https://www.yelp.com/biz/silver-city-rv-park-minden?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/silver-city-rv-resort-minden?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+267+3359; https://www.yellowpages.com/search?search_terms=775+267+3359,,39.069232386185774,-119.779217101659
E Minden ( 89423 ) Silver City RV Resort,775-267-3359 3165 US 395 N,D D,Minden,89423,Silver City RV Resort,775-267-3359,2016,Minden,NV,,Proper,,,,US 395,,,,,False,True,116,True,,,https://www.yelp.com/biz/silver-city-rv-park-minden?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/silver-city-rv-resort-minden?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+267+3359; https://www.yellowpages.com/search?search_terms=775+267+3359,,39.069232386185774,-119.779217101659
"Sparks , 89431 Petro Stopping Center # 38 PETRO",775-355-8888 I-80 Exit 20 EB / 21 WB ( S to Greg St ),M <U+2610> <U+2610>,Sparks,89431,Petro Stopping Center # 38 PETRO,775-355-8888,2006,Sparks,NV,,Exit,20,20,,I-80,,21.0,,,True,True,117,True,https://www.truckstopsandservices.com/location_details.php?id=2239; http://www.rvandtravelers.com/location_details.php?id=2239,https://www.truckstopsandservices.com/location_details.php?id=2239; http://www.rvandtravelers.com/location_details.php?id=2239,https://www.yelp.com/biz/alamo-casino-sparks?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/iron-skillet-sparks-2?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/petro-shopping-centers-sparks?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/petro-travel-center-sparks?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+355+8888; https://www.yellowpages.com/search?search_terms=775+355+8888; https://www.yellowpages.com/search?search_terms=775+355+8888,,39.52277,-119.707936
"Sparks , 89431 Petro Stopping Center # 38",775-355-8888 I-80 Exit 20 EB / 21 WB ( S to Greg St ),24 HRS XL <U+25A1> <U+25A1>,Sparks,89431,Petro Stopping Center # 38,775-355-8888,2007,Sparks,NV,,Exit,20,20,,I-80,,21.0,,,True,True,117,True,https://www.truckstopsandservices.com/location_details.php?id=2239; http://www.rvandtravelers.com/location_details.php?id=2239,https://www.truckstopsandservices.com/location_details.php?id=2239; http://www.rvandtravelers.com/location_details.php?id=2239,https://www.yelp.com/biz/alamo-casino-sparks?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/iron-skillet-sparks-2?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/petro-shopping-centers-sparks?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/petro-travel-center-sparks?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+355+8888; https://www.yellowpages.com/search?search_terms=775+355+8888; https://www.yellowpages.com/search?search_terms=775+355+8888,,39.52277,-119.707936
"Sparks , 89431 Petro Stopping Center # 38 PETRO",775-355-8888 I-80 Exit 20 EB / 21 WB ( S to Greg St ),HORS 24 XL 24,Sparks,89431,Petro Stopping Center # 38 PETRO,775-355-8888,2008,Sparks,NV,,Exit,20,20,,I-80,,21.0,,,True,True,117,True,https://www.truckstopsandservices.com/location_details.php?id=2239; http://www.rvandtravelers.com/location_details.php?id=2239,https://www.truckstopsandservices.com/location_details.php?id=2239; http://www.rvandtravelers.com/location_details.php?id=2239,https://www.yelp.com/biz/alamo-casino-sparks?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/iron-skillet-sparks-2?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/petro-shopping-centers-sparks?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/petro-travel-center-sparks?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+355+8888; https://www.yellowpages.com/search?search_terms=775+355+8888; https://www.yellowpages.com/search?search_terms=775+355+8888,,39.52277,-119.707936
Sparks ( 89431 ) Petro Sparks # 338 ( Valero ),775-355-8888 I-80 Exit 21 ( S to Greg St ),PETRO 24 <U+2610> XL 24,Sparks,89431,Petro Sparks # 338 ( Valero ),775-355-8888,2014,Sparks,NV,Valero,Exit,21,21,,I-80,,,,,True,True,117,True,https://www.truckstopsandservices.com/location_details.php?id=2239; http://www.rvandtravelers.com/location_details.php?id=2239,https://www.truckstopsandservices.com/location_details.php?id=2239; http://www.rvandtravelers.com/location_details.php?id=2239,https://www.yelp.com/biz/alamo-casino-sparks?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/iron-skillet-sparks-2?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/petro-shopping-centers-sparks?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg; https://www.yelp.com/biz/petro-travel-center-sparks?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=775+355+8888; https://www.yellowpages.com/search?search_terms=775+355+8888; https://www.yellowpages.com/search?search_terms=775+355+8888,,39.52277,-119.707936
